date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:51	82/82	---MCZ	200	added ('OK')	text/plain	etag:W/%225f34486d-6a%22	https://es.javascript.info/robots.txt		(from )
22:11:51	51891/51891	---MCZ	200	added ('OK')	text/html	etag:W/%22cab3-XzBd5ke4Zjn2I1hA5f31Nqv2XAs%22	https://es.javascript.info/	C:/Mis%20lugares%20Web/Javascript.info/es.javascript.info/index.html	(from )
22:11:52	204478/204478	---MCZ	200	added ('OK')	text/css	etag:W/%226396fa48-31ebe%22	https://es.javascript.info/pack/styles.40bd864cfdb7b5d1a94b.css	C:/Mis%20lugares%20Web/Javascript.info/es.javascript.info/pack/styles.40bd864cfdb7b5d1a94b.css	(from https://es.javascript.info/)
22:11:52	6004/6004	---M--	200	added ('OK')	image/png	etag:%225f34486d-1774%22	https://es.javascript.info/img/favicon/apple-touch-icon-precomposed.png	C:/Mis%20lugares%20Web/Javascript.info/es.javascript.info/img/favicon/apple-touch-icon-precomposed.png	(from https://es.javascript.info/)
22:11:52	1320/1320	---M--	200	added ('OK')	image/png	etag:%225f34486d-528%22	https://es.javascript.info/img/favicon/favicon.png	C:/Mis%20lugares%20Web/Javascript.info/es.javascript.info/img/favicon/favicon.png	(from https://es.javascript.info/)
22:11:52	50234/50234	---MC-	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	https://www.google-analytics.com/analytics.js	C:/Mis%20lugares%20Web/Javascript.info/www.google-analytics.com/analytics.js	(from https://es.javascript.info/)
22:11:54	0/0	---M--	302	error ('Moved%20temporarily')	text/html		http://mc.yandex.ru/metrika/watch.js	C:/Mis%20lugares%20Web/Javascript.info/mc.yandex.ru/metrika/watch.4.delayed	(from https://es.javascript.info/)
22:11:54	8398/8398	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262b80379-20ce%22	https://es.javascript.info/pack/init.da0cbf9711553523e21d.js	C:/Mis%20lugares%20Web/Javascript.info/es.javascript.info/pack/init.da0cbf9711553523e21d.js	(from https://es.javascript.info/)
22:11:54	166106/166106	---M-Z	200	added ('OK')	application/javascript	etag:%2263c93a4b-fcde%22	https://mc.yandex.ru/metrika/watch.js	C:/Mis%20lugares%20Web/Javascript.info/mc.yandex.ru/metrika/watch.js	(from https://es.javascript.info/)
22:11:54	143953/143953	---MCZ	200	added ('OK')	application/javascript	etag:W/%22631d9daa-23251%22	https://es.javascript.info/pack/head.d82dc89d7b800e91179f.js	C:/Mis%20lugares%20Web/Javascript.info/es.javascript.info/pack/head.d82dc89d7b800e91179f.js	(from https://es.javascript.info/)
22:11:55	127473/127473	---MCZ	200	added ('OK')	application/javascript	etag:W/%22631d9daa-1f1f1%22	https://es.javascript.info/pack/tutorial.7967275b5846db2d02db.js	C:/Mis%20lugares%20Web/Javascript.info/es.javascript.info/pack/tutorial.7967275b5846db2d02db.js	(from https://es.javascript.info/)
22:11:55	49087/49087	---MCZ	200	added ('OK')	application/javascript	etag:W/%22631d9daa-bfbf%22	https://es.javascript.info/pack/frontpage.50e557964543f22dd142.js	C:/Mis%20lugares%20Web/Javascript.info/es.javascript.info/pack/frontpage.50e557964543f22dd142.js	(from https://es.javascript.info/)
22:11:55	17164/17164	---MCZ	200	added ('OK')	text/css	etag:W/%22631d9daa-430c%22	https://es.javascript.info/pack/frontpage.50e557964543f22dd142.css	C:/Mis%20lugares%20Web/Javascript.info/es.javascript.info/pack/frontpage.50e557964543f22dd142.css	(from https://es.javascript.info/)
22:11:55	8460/8460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262cc90e7-210c%22	https://es.javascript.info/pack/footer.378d5659c5f335e3ee99.js	C:/Mis%20lugares%20Web/Javascript.info/es.javascript.info/pack/footer.378d5659c5f335e3ee99.js	(from https://es.javascript.info/)
22:11:55	5859/5859	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f34486d-16e3%22	https://es.javascript.info/img/sitetoolbar__logo_en.svg	C:/Mis%20lugares%20Web/Javascript.info/es.javascript.info/img/sitetoolbar__logo_en.svg	(from https://es.javascript.info/)
22:11:56	7822/7822	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261badb18-1e8e%22	https://es.javascript.info/img/sitetoolbar__logo_en-white.svg	C:/Mis%20lugares%20Web/Javascript.info/es.javascript.info/img/sitetoolbar__logo_en-white.svg	(from https://es.javascript.info/)
22:11:56	3595/3595	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f34486d-e0b%22	https://es.javascript.info/img/sitetoolbar__logo_small_en.svg	C:/Mis%20lugares%20Web/Javascript.info/es.javascript.info/img/sitetoolbar__logo_small_en.svg	(from https://es.javascript.info/)
22:11:56	4747/4747	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261badb18-128b%22	https://es.javascript.info/img/sitetoolbar__logo_small_en-white.svg	C:/Mis%20lugares%20Web/Javascript.info/es.javascript.info/img/sitetoolbar__logo_small_en-white.svg	(from https://es.javascript.info/)
22:11:56	19884/19884	---MCZ	200	added ('OK')	text/html	etag:W/%224dac-fR3k+uliRFPei/ma0wcpF2HsBro%22	https://es.javascript.info/ebook	C:/Mis%20lugares%20Web/Javascript.info/es.javascript.info/ebook.html	(from https://es.javascript.info/)
22:11:57	100612/100612	---MCZ	200	added ('OK')	text/html	etag:W/%2218904-VghqVlaXdelfS0WkfnBRG9fOD2U%22	https://es.javascript.info/tutorial/map	C:/Mis%20lugares%20Web/Javascript.info/es.javascript.info/tutorial/map.html	(from https://es.javascript.info/)
